상세영업상태명,소재지전화,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,업태구분명,좌표정보(x),좌표정보(y),의자수,세탁기수,회수건조수,lat,lng
영업,,120822,"서울특별시 서대문구 북아현동 220-1번지 101호,102호","서울특별시 서대문구 신촌로29길 26 (북아현동, 101호,102호)",3774,크린토피아,빨래방업,195784.6746,450601.9742,0.0,3.0,0.0,126.9530808863,37.5576826869207
영업,02  3368283,120827,서울특별시 서대문구 연희동 77-5 지층 좌측 일부,"서울특별시 서대문구 연희로 193, 지층 (연희동, 좌측일부)",3697,마마 운동화이불빨래방,빨래방업,194209.9649,452440.322,,3.0,,126.93524416647,37.5742366283345
영업,,133020,서울특별시 성동구 하왕십리동 1066번지,"서울특별시 성동구 무학로 33, 152동 B108호 (하왕십리동, 왕십리뉴타운제1구역 텐즈힐아파트상가)",4702,크린토피아 코인워시 왕십리 텐즈힐점,빨래방업,202401.066,451809.191,0.0,2.0,2.0,127.028040516397,37.5684498209013
영업,02  22821552,133839,"서울특별시 성동구 옥수동 250-7번지 삼성상가126,127호","서울특별시 성동구 한림말길 31 (옥수동,삼성상가126,127호)",4735,삼성호텔식빨래방,빨래방업,201222.0743,448765.9778,0.0,0.0,1.0,127.014629719985,37.5411064224501
영업,02 3568284,122891,서울특별시 은평구 신사동 342-47번지 지상1층,"서울특별시 은평구 증산로15길 30-1, 지상1층 (신사동)",3448,화이트세탁,빨래방업,191996.3111,454190.118,0.0,1.0,0.0,126.910166111417,37.5899850680597
영업,02 4653081,133833,서울특별시 성동구 성수동2가 299-198번지 외(299-199) 지상1층,"서울특별시 성동구 성수일로12길 27 (성수동2가,외(299-199) 지상1층)",4792,백조사,빨래방업,204738.6978,449551.6143,0.0,0.0,0.0,127.054431354942,37.5482219578103
영업,02 3249536,120835,서울특별시 서대문구 창천동 91-6번지 1층,"서울특별시 서대문구 성산로22길 4, 1층 (창천동)",3727,화이트운동화 앤 빨래방,빨래방업,194039.1288,450901.2477,0.0,3.0,0.0,126.933322929848,37.5603684245226
영업,,133855,서울특별시 성동구 상왕십리동 816-1번지,"서울특별시 성동구 왕십리로 410, J동 1층 141호 (하왕십리동, 센트라스)",4701,크린토피아 코인워시 왕십리 센트라스점,빨래방업,202310.0242,451594.7072,0.0,3.0,0.0,127.024600731637,37.5654680211827
영업,,138857,서울특별시 송파구 오금동 72-6번지,"서울특별시 송파구 마천로 144, 지상1층 (오금동)",5728,크린토피아(송파오금공원점)코인워시,빨래방업,211892.9311,444689.5345,0.0,3.0,4.0,127.135292173164,37.5043460713867
영업,,138813,서울특별시 송파구 거여동 136-106번지,"서울특별시 송파구 거마로9길 7, 지하층 (거여동)",5735,빨래방,빨래방업,212727.7839,443777.6975,0.0,4.0,4.0,127.144718691451,37.4961214244771
영업,02  576 0907,137898,서울특별시 서초구 양재동 368-11 1층,"서울특별시 서초구 동산로6길 41-3, 1층 (양재동)",6786,크린토피아 코인워시 양재2동,빨래방업,203893.6106,440822.3434,0.0,6.0,0.0,127.044803311537,37.4695696453267
영업,02  303 5882,122891,서울특별시 은평구 신사동 339-13번지,서울특별시 은평구 증산로15길 8 (신사동),3448,크린프랜드,빨래방업,192171.215,454076.4911,0.0,2.0,0.0,126.91214774189,37.5889628523017
영업,,136052,서울특별시 성북구 동선동2가 185번지 1층,"서울특별시 성북구 보문로30나길 2, 1층 (동선동2가)",2844,크린토피아 코인워시 성신여대점,빨래방업,201725.7269,454124.7308,0.0,3.0,3.0,127.020327247354,37.5894306866706
영업,02 8558940,151015,서울특별시 관악구 신림동 1735-3번지 관악산휴먼시아,"서울특별시 관악구 난곡로 53, 관악산휴먼시아 상가동 3층 301호 (신림동)",8862,휴먼시아 빨래방,빨래방업,192795.435,439787.7156,0.0,2.0,0.0,126.919356595975,37.4602269566467
영업,070 76916012,138842,서울특별시 송파구 석촌동 56-16번지 지상1층 102호,"서울특별시 송파구 석촌호수로18길 18, 지상1층 102호 (석촌동)",5611,버블존,빨래방업,208884.9486,444797.7574,0.0,4.0,4.0,127.10127467736,37.5053548409019
영업,02  523 3636,137865,서울특별시 서초구 서초동 1442-1 1층,"서울특별시 서초구 서초중앙로2길 84, 1층 (서초동)",6725,크린토피아,빨래방업,201803.9342,442576.9349,0.0,4.0,0.0,127.021185474017,37.4853857139262
영업,222630122,100260,서울특별시 중구 남학동 17-2번지,서울특별시 중구 퇴계로28길 14 (남학동),4627,충무세탁소,빨래방업,199152.4124,450909.9894,0.0,0.0,0.0,126.991195201066,37.5604672926901
영업,02  23838294,100819,서울특별시 중구 신당동 156-1번지,"서울특별시 중구 퇴계로88가길 14, 1층 (신당동)",4583,화이트빨래방,빨래방업,201780.9567,451225.0873,0.0,3.0,0.0,127.020945834873,37.5633051638629
영업,02  765 4890,110843,서울특별시 종로구 창신동 640-245번지,"서울특별시 종로구 창신4가길 38, 지1층 (창신동)",3097,은지네 빨래방,빨래방업,200779.5453,452514.3517,0.0,3.0,0.0,127.009614994876,37.5749202828107
영업,02  67301131,110340,서울특별시 종로구 익선동 34-8번지,서울특별시 종로구 삼일대로30길 31 (익선동),3132,호텔 이비스앰배서더 인사동,빨래방업,198977.911,452460.663,0.0,2.0,0.0,126.989219311582,37.5744408529329
영업,02  363 8285,100371,서울특별시 중구 만리동1가 231번지 상가동 107호,"서울특별시 중구 만리재로33길 21 (만리동1가, 상가동 107호)",4501,빨래방(서부역점),빨래방업,197010.4269,450402.8024,0.0,4.0,0.0,126.967001745344,37.5558684646262
영업,,100890,서울특별시 중구 신당동 304-339번지 1층,"서울특별시 중구 다산로33라길 5 (신당동, 1층)",4612,양지위생,빨래방업,201090.5674,451225.5311,0.0,1.0,6.0,127.013131413228,37.5633093550032
영업,263618031,100021,서울특별시 중구 명동1가 59-5번지,서울특별시 중구 남대문로 78 (명동1가),4534,(주)앰배스텔이비스앰배서더명동,빨래방업,198433.9032,451323.2163,0.0,0.0,0.0,126.983062193942,37.5641894140338
